iter	Logloss
145	0.5465430313
146	0.5459327922
147	0.5454217066
148	0.5448833092
149	0.5441248347
150	0.543540997
151	0.5430442797
152	0.5424631731
153	0.5419943217
154	0.5416271966
155	0.5410770829
156	0.5407115411
157	0.5400904565
158	0.5393801931
159	0.5387048412
160	0.5383501845
161	0.537952502
162	0.5375152372
163	0.5366592717
164	0.5362613912
165	0.5358777207
166	0.5354391497
167	0.5348488996
168	0.5343624737
169	0.5339807032
170	0.5333549874
171	0.5327577709
172	0.5321285323
173	0.5313370858
174	0.5305254128
175	0.5300637258
176	0.52960097
177	0.5290259591
178	0.528344195
179	0.5279074447
180	0.5274303206
181	0.5269460322
182	0.5265447872
183	0.5259508956
184	0.5253879968
185	0.5248167066
186	0.5241547731
187	0.5237163209
188	0.5233809011
189	0.5230918322
190	0.5223406408
191	0.5216280421
192	0.5209323845
193	0.5203924039
194	0.5200077834
195	0.5197016546
196	0.5192155849
197	0.5186566839
198	0.5182681844
199	0.5178171054
200	0.5172697229
201	0.5169141558
202	0.5163307139
203	0.515791802
204	0.5150881092
205	0.5145526409
206	0.5141739183
207	0.5135459463
208	0.5130730575
209	0.5126363073
210	0.5119444101
211	0.5113942172
212	0.5106357427
213	0.5102823131
214	0.5096671262
215	0.5093525663
216	0.5088056587
217	0.5083431405
218	0.5080960683
219	0.5077193247
220	0.5074225372
221	0.5068761046
222	0.5065035172
223	0.5059329395
224	0.5056010426
225	0.5050245671
226	0.5045561511
227	0.5040524278
228	0.5035880491
229	0.5031959081
230	0.5027050885
231	0.5020990847
232	0.5015623103
233	0.5012430401
234	0.5009005351
235	0.5004952527
236	0.5000600066
237	0.4995167011
238	0.4990294439
239	0.4985306288
240	0.4979490472
241	0.4974183684
242	0.4971184935
243	0.4965738421
244	0.4958881989
245	0.4956232355
246	0.495141322
247	0.4948454449
248	0.4942777567
249	0.4938707723
250	0.4935119199
251	0.4930595347
252	0.4925601258
253	0.4921273734
254	0.4916542075
255	0.4910411581
256	0.4905614611
257	0.4898985381
258	0.4896375329
259	0.489261581
260	0.4888996412
261	0.4887041842
262	0.4881890612
263	0.4877977513
264	0.4872768493
265	0.4868837978
266	0.4865797272
267	0.4863326946
268	0.4860580731
269	0.4856549282
270	0.4853602782
271	0.4849826242
272	0.4847136234
273	0.4842902916
274	0.4839601759
275	0.4835090969
276	0.4831830581
277	0.4828897143
278	0.4824243857
279	0.4820352925
280	0.4816986853
281	0.4812386607
282	0.4808993619
283	0.4806965426
284	0.4804748426
285	0.4802989788
286	0.4796711256
287	0.4793929417
288	0.4791444445
289	0.4787677801
290	0.4783571146
291	0.4779208789
292	0.4774405091
293	0.4771933577
294	0.4768878621
295	0.4766291527
296	0.4760727851
297	0.4755817676
298	0.4753444722
299	0.4750565511
300	0.4747255646
301	0.4743626748
302	0.4740998884
303	0.473792295
304	0.4735279649
305	0.4732453479
306	0.4727327185
307	0.4723780222
308	0.4718886277
309	0.471587407
310	0.4712822676
311	0.4712012824
312	0.47070694
313	0.470425273
314	0.4702437885
315	0.4698553681
316	0.4694513128
317	0.4693616195
318	0.4690067253
319	0.4688295553
320	0.4685616628
321	0.4682361387
322	0.4678655303
323	0.4674789308
324	0.4672871549
325	0.466920584
326	0.4666488124
327	0.4662392948
328	0.4658672615
329	0.4655319209
330	0.4648839204
331	0.4644449536
332	0.4640755327
333	0.4638436205
334	0.4636121041
335	0.4632731615
336	0.4630486511
337	0.4628397362
338	0.4625816601
339	0.4623147176
340	0.4618770174
341	0.4617014703
342	0.4615107235
343	0.4610486407
344	0.4608595168
345	0.4605952659
346	0.4603021992
347	0.4600177613
348	0.4597181239
349	0.4593753023
350	0.4591290613
351	0.4588666312
352	0.458461903
353	0.4581455619
354	0.4578530097
355	0.4575578846
356	0.4572611367
357	0.4568774663
358	0.4565532087
359	0.4562014811
360	0.4559839372
361	0.4556065603
362	0.4552137859
363	0.4549078154
364	0.4545225616
365	0.4543444021
366	0.4540506624
367	0.4539073748
368	0.4533984266
369	0.453091506
370	0.4529210254
371	0.4525584127
372	0.4520888092
373	0.4518202043
374	0.4516763625
375	0.4514173364
376	0.4510030689
377	0.450756155
378	0.4505166826
379	0.450176315
380	0.4497766929
381	0.4495062276
382	0.4492509223
383	0.4488486878
384	0.4484058023
385	0.448216916
386	0.4480143737
387	0.4477936633
388	0.4475353497
389	0.4471308986
390	0.4466023968
391	0.4462695894
392	0.4459292615
393	0.4457029699
394	0.4454804783
395	0.4452596491
396	0.4449176983
397	0.444689863
398	0.4443112195
399	0.4440971193
400	0.4439138932
401	0.4437113905
402	0.443439619
403	0.4430320013
404	0.4428075701
405	0.4421472199
406	0.441885621
407	0.4416476131
408	0.4413492027
409	0.4410906913
410	0.4409429704
411	0.4405369756
412	0.440254596
413	0.4398288496
414	0.4394786262
415	0.4391924467
416	0.4388727807
417	0.4385376776
418	0.4381120896
419	0.4376574086
420	0.4372996249
421	0.4370301887
422	0.4368569373
423	0.4366601741
424	0.4363680178
425	0.4360328355
426	0.4357511288
427	0.4355523074
428	0.4351451646
429	0.4346986772
430	0.434485804
431	0.434089586
432	0.4338352306
433	0.4334561913
434	0.4331751971
435	0.4327694397
436	0.4324572943
437	0.4322764036
438	0.4319386881
439	0.4317847133
440	0.4314388438
441	0.4312501158
442	0.4308146322
443	0.4304334554
444	0.4301559049
445	0.4298588007
446	0.4294674117
447	0.4292847794
448	0.429081683
449	0.428928381
450	0.4286711758
451	0.4283691634
452	0.4279759141
453	0.4276442546
454	0.4271748095
455	0.4269174459
456	0.426648643
457	0.4263268
458	0.4261294826
459	0.4257556681
460	0.4254000615
461	0.425194036
462	0.4248396168
463	0.4244984972
464	0.4240630532
465	0.4236312903
466	0.4234510725
467	0.4232874
468	0.4230014976
469	0.4227164661
470	0.4224184515
471	0.4219440982
472	0.421779832
473	0.421578873
474	0.4213415776
475	0.4209596884
476	0.4206705007
477	0.4204426258
478	0.4201511819
479	0.4197260689
480	0.4194601159
481	0.419224008
482	0.4189958956
483	0.4185227694
484	0.4181466987
485	0.4178918683
486	0.4175888664
487	0.41731472
488	0.4171520371
489	0.4168180423
