iter	Logloss
0	0.6915370204
1	0.6897757699
2	0.687911289
3	0.6859067661
4	0.6843498391
5	0.6826782027
6	0.6809612843
7	0.6791895841
8	0.6774357751
9	0.6758190789
10	0.6740939273
11	0.6723525471
12	0.6707327635
13	0.6689890875
14	0.6674977877
15	0.6661122517
16	0.6644912806
17	0.66294132
18	0.6614260334
19	0.6603055795
20	0.6584769205
21	0.6570673184
22	0.6555846872
23	0.6542497372
24	0.6528523265
25	0.6512517402
26	0.6503030731
27	0.6487691433
28	0.6473341691
29	0.6459596765
30	0.6444990134
31	0.6429462029
32	0.6415260719
33	0.6398657561
34	0.638636174
35	0.6375214199
36	0.6367024638
37	0.6353085759
38	0.6343350511
39	0.6335371923
40	0.6324212112
41	0.6312964428
42	0.6300856227
43	0.6288268289
44	0.627444024
45	0.6265077857
46	0.6253481058
47	0.6241072824
48	0.6230490913
49	0.6220280679
50	0.6213191108
51	0.6203939555
52	0.6190307042
53	0.6180166077
54	0.6170962024
55	0.6161296441
56	0.6152222613
57	0.6140476589
58	0.6128052917
59	0.6118914966
60	0.6109431462
61	0.6100037809
62	0.6090939835
63	0.6082232539
64	0.6073136544
65	0.6062898999
66	0.605416439
67	0.6042905227
68	0.6033922438
69	0.6023329048
70	0.6014825996
71	0.6006098512
72	0.5996213248
73	0.5989837344
74	0.5981401581
75	0.5971789435
76	0.5965000688
77	0.5953877688
78	0.5944583387
79	0.5938056674
80	0.5929912237
81	0.5921174461
82	0.5913482053
83	0.5905599253
84	0.5897973739
85	0.5887794379
86	0.5880431294
87	0.5873448199
88	0.5863823782
89	0.5855429184
90	0.5848923055
91	0.5843727493
92	0.5835609179
93	0.5824685278
94	0.5818274541
95	0.5812410831
96	0.5804240665
97	0.5794700954
98	0.5787226247
99	0.5781434577
100	0.5775078464
101	0.5768075577
102	0.576094484
103	0.5753069562
104	0.5746072612
105	0.5739271991
106	0.5733496153
107	0.5726976566
108	0.572004374
109	0.5711737807
110	0.5703775447
111	0.5693806665
112	0.5685522898
113	0.5679660375
114	0.5674380503
115	0.5665301924
116	0.5657882237
117	0.5649165045
118	0.5641011503
119	0.5636324572
120	0.5628040014
121	0.5624434865
122	0.5617699554
123	0.5610200702
124	0.56018255
125	0.5595657007
126	0.5586963564
127	0.5578346514
128	0.5570882495
129	0.5564960995
130	0.5560253877
131	0.5554426583
132	0.5546991854
133	0.553939563
134	0.5533243761
135	0.5526930397
136	0.5521137935
137	0.5512129022
138	0.5504287784
139	0.5498918851
140	0.5493242761
141	0.5488138238
142	0.5481455967
143	0.5475070563
144	0.5471231088
