iter	Passed	Remaining
403	9775	14421
404	9801	14399
405	9828	14379
406	9853	14357
407	9879	14334
408	9902	14309
409	9928	14286
410	9955	14267
411	9979	14242
412	10003	14217
413	10026	14192
414	10049	14166
415	10073	14142
416	10100	14121
417	10125	14098
418	10150	14075
419	10174	14050
420	10197	14024
421	10221	13999
422	10244	13974
423	10268	13950
424	10291	13924
425	10316	13900
426	10339	13875
427	10362	13849
428	10388	13827
429	10414	13804
430	10439	13781
431	10462	13756
432	10486	13731
433	10509	13706
434	10534	13682
435	10559	13659
436	10582	13634
437	10605	13607
438	10630	13585
439	10654	13560
440	10678	13535
441	10704	13514
442	10728	13489
443	10751	13463
444	10776	13440
445	10803	13419
446	10828	13396
447	10854	13374
448	10878	13350
449	10901	13324
450	10923	13297
451	10946	13271
452	10973	13250
453	10998	13226
454	11023	13204
455	11046	13178
456	11072	13156
457	11096	13131
458	11122	13109
459	11148	13086
460	11170	13061
461	11196	13037
462	11222	13015
463	11246	12992
464	11271	12968
465	11296	12944
466	11321	12921
467	11344	12896
468	11370	12873
469	11393	12847
470	11417	12823
471	11443	12800
472	11467	12776
473	11490	12751
474	11516	12728
475	11543	12707
476	11566	12682
477	11591	12658
478	11617	12635
479	11642	12613
480	11667	12589
481	11691	12564
482	11716	12541
483	11740	12516
484	11764	12491
485	11787	12467
486	11810	12440
487	11836	12418
488	11860	12393
489	11886	12371
